HCHO_reading,Location,Current_Date,Next_Date
8.089742914307863e-05,nuwara eliya proper,2019-10-19,2019-10-20
8.089742914307863e-05,nuwara eliya proper,2019-10-20,2019-10-21
8.089742914307863e-05,nuwara eliya proper,2019-10-21,2019-10-22
8.089742914307863e-05,nuwara eliya proper,2019-10-22,2019-10-23
0.0002144734025932,nuwara eliya proper,2019-10-23,2019-10-24
0.0002144734025932,nuwara eliya proper,2019-10-24,2019-10-25
0.0002144734025932,nuwara eliya proper,2019-10-25,2019-10-26
0.0002144734025932,nuwara eliya proper,2019-10-26,2019-10-27
0.0002144734025932,nuwara eliya proper,2019-10-27,2019-10-28
0.0002144734025932,nuwara eliya proper,2019-10-28,2019-10-29
0.0002144734025932,nuwara eliya proper,2019-10-29,2019-10-30
0.0002144734025932,nuwara eliya proper,2019-10-30,2019-10-31
0.0002144734025932,nuwara eliya proper,2019-10-31,2019-11-01
0.0001060299718198,nuwara eliya proper,2019-11-01,2019-11-02
0.0001060299718198,nuwara eliya proper,2019-11-02,2019-11-03
0.0001060299718198,nuwara eliya proper,2019-11-03,2019-11-04
0.0001060299718198,nuwara eliya proper,2019-11-04,2019-11-05
0.0001060299718198,nuwara eliya proper,2019-11-05,2019-11-06
0.0001197492585854,nuwara eliya proper,2019-11-06,2019-11-07
0.0002019448987158,nuwara eliya proper,2019-11-07,2019-11-08
0.0001875744093177,nuwara eliya proper,2019-11-08,2019-11-09
0.0001875744093177,nuwara eliya proper,2019-11-09,2019-11-10
0.0001875744093177,nuwara eliya proper,2019-11-10,2019-11-11
0.0001875744093177,nuwara eliya proper,2019-11-11,2019-11-12
0.0001796965460638,nuwara eliya proper,2019-11-12,2019-11-13
4.990433807850961e-05,nuwara eliya proper,2019-11-13,2019-11-14
1.0639170243363802e-05,nuwara eliya proper,2019-11-14,2019-11-15
1.0639170243363802e-05,nuwara eliya proper,2019-11-15,2019-11-16
1.0639170243363802e-05,nuwara eliya proper,2019-11-16,2019-11-17
1.0639170243363802e-05,nuwara eliya proper,2019-11-17,2019-11-18
0.0001715080615397,nuwara eliya proper,2019-11-18,2019-11-19
0.0001715080615397,nuwara eliya proper,2019-11-19,2019-11-20
0.0001715080615397,nuwara eliya proper,2019-11-20,2019-11-21
0.0001715080615397,nuwara eliya proper,2019-11-21,2019-11-22
0.0001715080615397,nuwara eliya proper,2019-11-22,2019-11-23
0.0001715080615397,nuwara eliya proper,2019-11-23,2019-11-24
0.0001715080615397,nuwara eliya proper,2019-11-24,2019-11-25
0.0001715080615397,nuwara eliya proper,2019-11-25,2019-11-26
0.0001715080615397,nuwara eliya proper,2019-11-26,2019-11-27
0.0001715080615397,nuwara eliya proper,2019-11-27,2019-11-28
0.0001715080615397,nuwara eliya proper,2019-11-28,2019-11-29
0.0001715080615397,nuwara eliya proper,2019-11-29,2019-11-30
0.0001715080615397,nuwara eliya proper,2019-11-30,2019-12-01
0.0001715080615397,nuwara eliya proper,2019-12-01,2019-12-02
0.0001715080615397,nuwara eliya proper,2019-12-02,2019-12-03
0.0001715080615397,nuwara eliya proper,2019-12-03,2019-12-04
0.0001715080615397,nuwara eliya proper,2019-12-04,2019-12-05
0.0001715080615397,nuwara eliya proper,2019-12-05,2019-12-06
6.060121733358272e-05,nuwara eliya proper,2019-12-06,2019-12-07
6.060121733358272e-05,nuwara eliya proper,2019-12-07,2019-12-08
6.060121733358272e-05,nuwara eliya proper,2019-12-08,2019-12-09
6.060121733358272e-05,nuwara eliya proper,2019-12-09,2019-12-10
6.060121733358272e-05,nuwara eliya proper,2019-12-10,2019-12-11
6.060121733358272e-05,nuwara eliya proper,2019-12-11,2019-12-12
5.144756876329371e-05,nuwara eliya proper,2019-12-12,2019-12-13
5.144756876329371e-05,nuwara eliya proper,2019-12-13,2019-12-14
1.5113010024269242e-05,nuwara eliya proper,2019-12-14,2019-12-15
1.5113010024269242e-05,nuwara eliya proper,2019-12-15,2019-12-16
0.0002059300168184,nuwara eliya proper,2019-12-16,2019-12-17
0.0002059300168184,nuwara eliya proper,2019-12-17,2019-12-18
0.0002059300168184,nuwara eliya proper,2019-12-18,2019-12-19
0.0002059300168184,nuwara eliya proper,2019-12-19,2019-12-20
0.0002059300168184,nuwara eliya proper,2019-12-20,2019-12-21
0.0002059300168184,nuwara eliya proper,2019-12-21,2019-12-22
0.0002059300168184,nuwara eliya proper,2019-12-22,2019-12-23
2.4497794584021904e-05,nuwara eliya proper,2019-12-23,2019-12-24
5.2385187031481246e-06,nuwara eliya proper,2019-12-24,2019-12-25
5.2385187031481246e-06,nuwara eliya proper,2019-12-25,2019-12-26
8.490988554769745e-05,nuwara eliya proper,2019-12-26,2019-12-27
8.490988554769745e-05,nuwara eliya proper,2019-12-27,2019-12-28
5.037097735972281e-05,nuwara eliya proper,2019-12-28,2019-12-29
